loc,ev(g),l,d,i,lOComment,lOBlank,locCodeAndComment
288.0,7.0,0.02,44.9,116.45,9,15,0
96.0,1.0,0.04,22.29,69.72,7,5,0
68.0,5.0,0.06,15.48,68.88,10,3,0
84.0,1.0,0.03,28.95,51.83,4,13,0
20.0,1.0,0.16,6.42,11.53,10,2,1
72.0,8.0,0.04,23.42,54.22,6,10,1
16.0,1.0,0.16,6.27,28.02,0,1,0
40.0,1.0,0.05,19.88,33.91,0,10,0
12.0,1.0,0.16,6.43,29.24,0,1,0
11.0,1.0,0.16,6.43,29.24,0,0,0
50.0,3.0,0.03,34.78,42.58,0,8,0
25.0,1.0,0.19,5.19,32.64,2,3,0
4.0,1.0,0.4,2.5,6.2,0,0,0
220.0,8.0,0.05,21.49,140.96,44,32,0
22.0,1.0,0.18,5.6,59.23,0,0,0
23.0,1.0,0.18,5.6,59.23,0,0,0
89.0,4.0,0.04,23.74,43.97,8,12,1
15.0,1.0,0.19,5.33,33.22,0,0,0
100.0,3.0,0.04,26.82,85.07,2,9,0
12.0,1.0,0.21,4.67,14.27,0,2,0
72.0,1.0,0.07,14.62,53.34,10,12,0
23.0,1.0,0.32,3.14,69.59,0,2,0
140.0,10.0,0.04,27.6,83.5,8,6,0
162.0,12.0,0.03,35.6,56.51,35,11,0
33.0,1.0,0.11,9.31,27.09,3,3,0
82.0,4.0,0.03,29.7,37.62,2,7,0
73.0,7.0,0.02,40.09,35.46,0,12,0
109.0,14.0,0.02,42.25,60.37,1,12,0
61.0,1.0,0.06,16.0,51.09,10,7,0
153.0,15.0,0.02,48.32,68.18,2,11,0
33.0,1.0,0.17,5.83,55.71,1,1,0
10.0,1.0,0.4,2.5,26.64,0,0,0
81.0,1.0,0.06,15.47,58.17,16,17,0
97.0,8.0,0.03,30.44,41.39,10,13,2
3.0,1.0,1.0,1.0,8.0,0,0,0
75.0,6.0,0.03,30.43,57.39,1,18,0
98.0,3.0,0.03,31.25,60.01,0,14,0
119.0,12.0,0.03,31.2,41.82,23,13,0
35.0,5.0,0.05,21.25,19.69,0,3,0
116.0,6.0,0.06,18.0,137.08,2,15,0
205.0,16.0,0.02,49.32,64.47,9,16,7
5.0,1.0,0.38,2.67,11.58,0,0,0
3.0,1.0,0.0,0.0,0.0,0,0,0
3.0,1.0,0.0,0.0,0.0,0,0,0
3.0,1.0,0.0,0.0,0.0,0,0,0
12.0,1.0,0.29,3.5,18.03,0,2,0
5.0,1.0,0.38,2.67,11.58,0,0,0
3.0,1.0,0.0,0.0,0.0,0,0,0
3.0,1.0,0.0,0.0,0.0,0,0,0
3.0,1.0,0.0,0.0,0.0,0,0,0
13.0,1.0,0.27,3.75,29.44,0,2,0
12.0,1.0,0.29,3.5,18.03,0,2,0
3.0,1.0,0.0,0.0,0.0,0,0,0
12.0,1.0,0.29,3.5,18.03,0,2,0
4.0,1.0,0.0,0.0,0.0,0,1,0
13.0,1.0,0.14,7.33,14.02,0,2,0
16.0,3.0,0.1,10.0,18.89,0,2,0
16.0,3.0,0.1,10.0,18.89,0,2,0
16.0,3.0,0.1,10.0,18.89,0,2,0
16.0,1.0,0.19,5.2,27.26,0,2,0
35.0,5.0,0.09,11.38,36.3,1,6,0
14.0,1.0,0.17,5.78,21.22,0,1,0
40.0,1.0,0.06,15.86,30.53,0,1,0
38.0,3.0,0.09,11.57,42.34,3,3,0
26.0,1.0,0.1,10.0,28.99,0,5,0
15.0,1.0,0.11,9.17,16.58,0,1,0
21.0,1.0,0.1,10.29,20.22,0,4,0
11.0,1.0,0.21,4.8,13.88,0,2,0
17.0,1.0,0.15,6.67,16.2,0,3,0
25.0,1.0,0.11,9.35,27.25,0,2,0
56.0,9.0,0.06,17.67,46.69,4,2,0
59.0,1.0,0.06,15.83,45.08,4,4,0
120.0,5.0,0.04,23.29,77.47,9,5,0
23.0,1.0,0.11,9.17,25.17,1,1,0
23.0,1.0,0.11,9.17,25.17,1,1,0
22.0,1.0,0.11,9.17,25.17,1,1,0
31.0,1.0,0.13,7.74,68.36,1,4,0
13.0,1.0,0.19,5.2,28.87,0,0,0
17.0,1.0,0.17,5.87,42.41,0,0,0
32.0,1.0,0.08,12.33,68.24,0,2,0
17.0,1.0,0.18,5.56,52.46,0,0,0
74.0,1.0,0.04,24.0,39.51,6,6,0
23.0,1.0,0.1,10.08,17.03,0,1,0
20.0,1.0,0.1,10.31,18.95,0,2,0
13.0,1.0,0.11,9.0,11.92,0,1,0
30.0,1.0,0.09,11.7,29.77,2,2,0
38.0,3.0,0.05,18.5,30.49,0,2,0
55.0,1.0,0.04,23.65,27.84,2,1,0
24.0,1.0,0.09,10.67,22.65,0,1,0
36.0,9.0,0.06,16.88,28.74,1,1,0
210.0,11.0,0.03,32.93,115.99,11,17,0
7.0,1.0,0.33,3.0,14.99,0,1,0
8.0,1.0,0.4,2.5,15.95,0,1,0
23.0,1.0,0.08,13.0,22.64,0,4,0
9.0,1.0,0.21,4.67,16.32,0,0,0
34.0,3.0,0.07,14.71,39.09,0,2,0
9.0,1.0,0.25,4.0,18.08,0,2,0
63.0,5.0,0.05,19.29,43.7,4,5,0
7.0,1.0,0.33,3.0,13.84,0,1,0
28.0,1.0,0.11,9.26,39.2,0,3,0
14.0,1.0,0.17,5.79,17.98,1,2,0
29.0,1.0,0.11,9.0,42.3,0,1,0
41.0,5.0,0.06,17.0,32.04,1,4,0
18.0,1.0,0.1,10.29,19.44,0,2,0
14.0,1.0,0.33,3.0,28.0,0,1,0
4.0,1.0,0.4,2.5,7.86,0,0,0
11.0,1.0,0.33,3.0,21.58,0,1,0
4.0,1.0,0.4,2.5,7.86,0,0,0
6.0,1.0,0.67,1.5,7.74,0,1,0
18.0,1.0,0.16,6.43,19.71,0,2,0
2.0,1.0,0.0,0.0,0.0,0,0,0
43.0,1.0,0.06,17.0,35.3,0,2,1
2.0,1.0,0.0,0.0,0.0,0,0,0
8.0,1.0,2.0,0.5,23.22,0,0,0
10.0,1.0,2.0,0.5,23.22,0,0,0
3.0,1.0,0.0,0.0,0.0,0,0,0
5.0,1.0,1.0,1.0,18.09,0,0,0
7.0,1.0,0.4,2.5,14.4,0,1,0
3.0,1.0,1.0,1.0,18.09,0,0,0
13.0,1.0,0.3,3.33,20.76,0,3,0
11.0,1.0,2.0,0.5,31.02,0,0,0
3.0,1.0,0.0,0.0,0.0,0,0,0
4.0,1.0,1.0,1.0,13.93,0,0,0
3.0,1.0,0.0,0.0,0.0,0,0,0
39.0,1.0,0.09,11.6,70.66,1,5,0
1.0,1.0,0.0,0.0,0.0,0,0,0
4.0,1.0,1.0,1.0,4.75,0,0,0
13.0,1.0,0.3,3.33,20.76,0,3,0
4.0,1.0,1.0,1.0,18.09,0,0,0
2.0,1.0,1.0,1.0,18.09,0,0,0
10.0,1.0,0.25,4.0,15.78,0,2,0
20.0,1.0,0.23,4.38,58.94,0,0,0
4.0,1.0,0.0,0.0,0.0,0,0,0
14.0,1.0,0.3,3.33,20.76,0,3,0
13.0,1.0,0.5,2.0,16.84,0,0,0
15.0,1.0,0.64,1.57,26.22,0,0,0
24.0,1.0,0.38,2.67,22.2,0,1,0
19.0,3.0,0.11,9.27,24.39,0,2,0
17.0,1.0,0.18,5.5,35.36,0,2,0
63.0,8.0,0.05,18.57,58.5,4,7,0
6.0,1.0,0.4,2.5,12.68,0,0,0
9.0,1.0,0.4,2.5,9.6,0,1,0
9.0,1.0,0.4,2.5,9.6,0,1,0
6.0,1.0,0.4,2.5,12.68,0,0,0
6.0,1.0,0.4,2.5,12.68,0,0,0
6.0,1.0,0.4,2.5,12.68,0,0,0
10.0,1.0,0.4,2.5,9.6,0,1,0
6.0,1.0,0.4,2.5,12.68,0,0,0
6.0,1.0,0.4,2.5,12.68,0,0,0
10.0,1.0,0.4,2.5,9.6,0,1,0
87.0,1.0,0.04,22.65,52.56,5,4,0
51.0,1.0,0.04,24.59,27.12,2,2,0
88.0,10.0,0.03,34.83,36.77,5,7,0
59.0,1.0,0.05,21.88,39.07,3,4,0
1.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
56.0,3.0,0.06,15.6,43.01,0,1,0
4.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
9.0,1.0,0.21,4.67,16.32,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
1.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
4.0,1.0,0.67,1.5,5.33,0,0,0
16.0,1.0,0.16,6.4,14.45,0,2,0
16.0,1.0,0.16,6.4,14.45,0,2,0
18.0,1.0,0.15,6.67,16.56,0,3,0
7.0,1.0,0.5,2.0,11.23,0,0,0
8.0,1.0,0.5,2.0,13.5,0,2,0
14.0,1.0,0.14,7.33,15.06,0,2,0
16.0,1.0,0.16,6.4,14.45,0,2,0
16.0,1.0,0.16,6.4,14.45,0,2,0
17.0,1.0,0.17,6.0,15.23,0,3,0
17.0,1.0,0.16,6.4,14.45,0,3,0
17.0,1.0,0.16,6.4,14.45,0,3,0
7.0,1.0,0.5,2.0,11.23,0,0,0
17.0,1.0,0.17,6.0,15.23,0,3,0
9.0,1.0,0.27,3.75,12.4,2,1,0
14.0,1.0,0.17,6.0,11.35,0,4,0
16.0,1.0,0.16,6.4,14.45,0,2,0
17.0,1.0,0.16,6.4,14.45,0,3,0
17.0,1.0,0.17,6.0,15.23,0,3,0
17.0,1.0,0.19,5.33,14.28,0,4,0
17.0,1.0,0.16,6.4,14.45,0,3,0
17.0,1.0,0.19,5.33,14.28,0,4,0
16.0,1.0,0.16,6.4,14.45,0,2,0
17.0,1.0,0.16,6.4,14.45,0,3,0
17.0,1.0,0.16,6.4,14.45,0,3,0
49.0,5.0,0.05,18.28,35.23,2,3,0
13.0,1.0,0.16,6.22,21.02,0,0,0
14.0,1.0,0.33,3.0,28.0,0,1,0
4.0,1.0,0.4,2.5,7.86,0,0,0
2.0,1.0,0.5,2.0,5.8,0,0,0
2.0,1.0,0.5,2.0,5.8,0,0,0
2.0,1.0,0.67,1.5,7.74,0,0,0
6.0,1.0,0.22,4.5,4.44,0,0,0
2.0,1.0,0.67,1.5,5.33,0,0,0
2.0,1.0,0.67,1.5,5.33,0,0,0
2.0,1.0,0.67,1.5,7.74,0,0,0
2.0,1.0,0.67,1.5,7.74,0,0,0
28.0,1.0,0.08,12.46,22.36,0,1,0
28.0,1.0,0.08,12.46,22.36,0,1,0
23.0,1.0,0.1,9.9,24.4,2,1,0
4.0,1.0,0.67,1.5,12.06,0,0,0
4.0,1.0,0.67,1.5,12.06,0,0,0
4.0,1.0,0.0,0.0,0.0,0,0,0
35.0,1.0,0.1,9.81,74.84,0,2,0
4.0,1.0,0.67,1.5,5.33,0,0,0
